Public Food Key,Classification,Food Name,"Energy with dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Nitrogen 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Glucose 
(g)",Added sugars (g),"Free sugars 
(g)","Starch 
(g)","Available carbohydrate, without sugar alcohols 
(g)","Available carbohydrate, with sugar alcohols 
(g)","Calcium (Ca) 
(mg)","Copper (Cu) 
(mg)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Magnesium (Mg) 
(mg)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Sodium (Na) 
(mg)","Zinc (Zn) 
(mg)","Cobalamin (B12) 
(ug)","Folic acid 
(ug)","Vitamin C 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated 
(g)","Caffeine 
(mg)","Cholesterol 
(mg)"
F000817,18101,"Beef, sirloin steak, semi-trimmed, grilled, no added fat",746,60.6,29.7,4.75,6.5,0,0,0,0,0,0,0,10,0.095,1.7,2.14,25,261,340,48,7.46,1.4,0,0,0.73,2.31,0,70
F000825,18101,"Beef, sirloin steak, untrimmed, raw",930,62.1,21.4,3.42,15.3,0,0,0,0,0,0,0,6,0.116,1.4,2,23,198,330,50,3.16,1.3,0,1,0.86,6.33,0,58
F000824,18101,"Beef, sirloin steak, untrimmed, grilled, no added fat","1,007",55.1,27.3,4.37,14.7,0,0,0,0,0,0,0,9,0.079,1.9,1.94,23,234,310,45,6.44,1.5,0,0,0.83,5.51,0,69
F000931,18101,"Beef, stir-fry strips, lean, raw",536,73.2,27.2,4.35,2,0,0,0,0,0,0,0,4,0.08,1.2,1.7,24,240,340,38,5.7,1,0,1,0.5,0.71,0,54
F000929,18101,"Beef, stir-fry strips, lean, dry-fried, no added fat",644,65.9,30.9,4.94,3.2,0,0,0,0,0,0,0,4,0.1,1.7,2.8,23,260,360,47,7.2,2.5,0,0,0.7,1.02,0,77
F000934,18101,"Beef, strips, lean, casseroled, no added fat",740,63,37.5,6,2.8,0,0,0,0,0,0,0,5,0.11,0.8,2.34,22,215,258,29,7.86,0.8,0,1,0.55,0.98,0,74
F000933,18101,"Beef, stir-fry strips, untrimmed, raw",559,72.6,27,4.32,2.7,0,0,0,0,0,0,0,4,0.079,1.2,1.7,24,238,338,38,5.64,1,0,1,0.5,1.01,0,54
F000932,18101,"Beef, stir-fry strips, untrimmed, dry-fried, no added fat",657,65.6,30.8,4.92,3.6,0,0,0,0,0,0,0,4,0.099,1.7,2.78,23,259,358,47,7.15,2.5,0,0,0.7,1.19,0,77
F000935,18101,"Beef, strips, untrimmed, casseroled, no added fat",752,62.8,37.3,5.97,3.2,0,0,0,0,0,0,0,5,0.109,0.8,2.33,21,214,257,29,7.81,0.8,0,1,0.56,1.15,0,74
F000881,18101,"Beef, steak, with bone, T-bone or blade, lean, raw",480,72.8,23.3,3.73,2.3,0,0,0,0,0,0,0,5,0.135,1.2,2.05,26,215,360,56,4.2,0.6,0,1,0.7,0.83,0,52
F000880,18101,"Beef, steak, with bone, T-bone or blade, lean, grilled, no added fat",643,64.8,30.6,4.89,3.4,0,0,0,0,0,0,0,8,0.148,1.7,2.4,28,265,375,48,6.9,1.2,0,0,0.7,1.11,0,76
F000883,18101,"Beef, steak, with bone, T-bone or blade, semi-trimmed, raw",668,68.4,22.2,3.55,7.8,0,0,0,0,0,0,0,5,0.122,1.3,1.97,24,202,340,54,3.91,0.9,0,1,0.69,3.17,0,52
F000882,18101,"Beef, steak, with bone, T-bone or blade, semi-trimmed, grilled, no added fat",789,61.6,29.3,4.68,7.9,0,0,0,0,0,0,0,8,0.137,1.8,2.28,26,250,357,47,6.39,1.3,0,0,0.75,2.88,0,75
F000885,18101,"Beef, steak, with bone, T-bone or blade, untrimmed, raw",848,64.1,21.2,3.38,13.2,0,0,0,0,0,0,0,5,0.109,1.4,1.9,22,190,322,51,3.63,1.1,0,1,0.69,5.42,0,53
F000884,18101,"Beef, steak, with bone, T-bone or blade, untrimmed, grilled, no added fat",888,59.4,28.4,4.54,10.9,0,0,0,0,0,0,0,8,0.129,1.8,2.2,26,241,345,46,6.03,1.4,0,0,0.79,4.08,0,74
F000887,18101,"Beef, steak, with bone, T-bone, lean, raw",487,72.9,24.4,3.9,2,0,0,0,0,0,0,0,6,0.15,1.2,2.2,27,230,380,57,3.8,0.4,0,1,0.9,0.74,0,58
F000886,18101,"Beef, steak, with bone, T-bone, lean, grilled, no added fat",637,64.7,29.2,4.67,3.8,0,0,0,0,0,0,0,10,0.1,1.7,2.2,26,270,350,49,7.8,1.4,0,0,0.7,1.25,0,70
F000889,18101,"Beef, steak, with bone, T-bone, semi-trimmed, raw",738,66.9,22.8,3.66,9.4,0,0,0,0,0,0,0,6,0.131,1.3,2.09,25,212,352,53,3.44,0.7,0,1,0.87,3.88,0,58
F000888,18101,"Beef, steak, with bone, T-bone, semi-trimmed, grilled, no added fat",837,60.3,27.5,4.41,10,0,0,0,0,0,0,0,9,0.088,1.8,2.05,24,250,327,47,7.03,1.5,0,0,0.77,3.66,0,69
F000891,18101,"Beef, steak, with bone, T-bone, untrimmed, raw",988,60.9,21.3,3.41,16.9,0,0,0,0,0,0,0,6,0.112,1.4,1.97,22,194,325,49,3.08,1,0,1,0.85,7.02,0,58
F000890,18101,"Beef, steak, with bone, T-bone, untrimmed, grilled, no added fat",984,57.1,26.3,4.21,14.5,0,0,0,0,0,0,0,9,0.079,1.9,1.94,23,235,311,45,6.46,1.5,0,0,0.82,5.44,0,69
F000961,18101,"Beef, topside roast, lean, raw",490,75,22.3,3.57,3,0,0,0,0,0,0,0,4,0.006,1.2,1.24,24,200,360,44,3,1,0,1,0.9,1.09,0,35
F000962,18101,"Beef, topside roast, lean, roasted, no added fat",660,63.4,32.7,5.23,2.8,0,0,0,0,0,0,0,4,0.124,1.7,2.4,24,220,340,54,4.8,1.8,0,0,0.7,0.78,0,62
F000963,18101,"Beef, topside roast, semi-trimmed, raw",558,73.3,22,3.51,5,0,0,0,0,0,0,0,4,0.006,1.2,1.24,23,196,353,43,2.93,1,0,1,0.89,1.93,0,36
F000964,18101,"Beef, topside roast, semi-trimmed, roasted, no added fat",719,62.1,32.1,5.13,4.7,0,0,0,0,0,0,0,4,0.12,1.7,2.35,24,216,334,53,4.67,1.8,0,0,0.72,1.52,0,62
F000966,18101,"Beef, topside roast, untrimmed, raw",681,70.2,21.3,3.41,8.6,0,0,0,0,0,0,0,4,0.005,1.3,1.24,22,189,341,42,2.8,1.1,0,1,0.88,3.45,0,37
F000967,18101,"Beef, topside roast, untrimmed, roasted, no added fat",793,60.5,31.3,5.01,7.1,0,0,0,0,0,0,0,4,0.114,1.8,2.28,23,210,325,52,4.52,1.8,0,0,0.75,2.46,0,62
F009360,18104,"Veal, all cuts, separable fat, raw","1,403",52.7,19.4,3.1,29,0,0,0,0,0,0,0,14,0,0,0.58,11,110,160,25,1.7,3,0,0,1.1,13.99,0,70
F009359,18104,"Veal, all cuts, separable fat, cooked","1,573",46.4,20.7,3.31,33,0,0,0,0,0,0,0,7,0,0,0.79,11,98,160,32,1.5,3.3,0,0,1.1,17.04,0,39
F009361,18104,"Veal, boneless dice or strips, lean, raw",492,74.4,25.2,4.02,1.8,0,0,0,0,0,0,0,6,0.086,0.3,1.19,25,250,375,51,4.15,1.6,0,1,0.5,0.61,0,55
F009362,18104,"Veal, boneless dice or strips, lean, stir-fried, no added fat",633,64.4,31,4.95,2.9,0,0,0,0,0,0,0,8,0.145,0.3,2.05,36,365,510,82,6.4,3,0,0,0.3,1.09,0,104
F009363,18104,"Veal, boneless dice or strips, untrimmed, raw",508,74,25,4.01,2.2,0,0,0,0,0,0,0,6,0.084,0.3,1.18,25,248,371,50,4.11,1.6,0,1,0.51,0.85,0,55
F009364,18104,"Veal, boneless dice or strips, untrimmed, stir-fried, no added fat",651,64.1,30.7,4.92,3.5,0,0,0,0,0,0,0,8,0.142,0.3,2.03,35,360,503,81,6.3,3,0,0,0.32,1.4,0,103
F009370,18104,"Veal, cutlet, with bone, lean, raw",459,74.7,24.6,3.94,1.1,0,0,0,0,0,0,0,8,0.055,0.3,0.71,23,240,330,45,3.6,1.6,0,1,0.5,0.4,0,35
F009369,18104,"Veal, cutlet, with bone, lean, grilled, no added fat",552,68.1,28.1,4.5,2,0,0,0,0,0,0,0,6,0.052,0.3,1.1,20,210,300,46,3.7,3,0,0,0.3,0.84,0,41
F009372,18104,"Veal, cutlet, with bone, semi-trimmed, raw",512,73.4,24.3,3.89,2.7,0,0,0,0,0,0,0,8,0.052,0.3,0.7,22,233,320,44,3.49,1.7,0,1,0.53,1.17,0,37
F009371,18104,"Veal, cutlet, with bone, semi-trimmed, grilled, no added fat",625,66.5,27.6,4.41,4.2,0,0,0,0,0,0,0,6,0.048,0.3,1.08,19,202,290,45,3.54,3,0,0,0.36,2.01,0,41
F009374,18104,"Veal, cutlet, with bone, untrimmed, raw",523,73.2,24.2,3.88,3,0,0,0,0,0,0,0,8,0.051,0.3,0.7,22,231,318,44,3.47,1.7,0,1,0.54,1.32,0,37
F009373,18104,"Veal, cutlet, with bone, untrimmed, grilled, no added fat",632,66.4,27.5,4.4,4.4,0,0,0,0,0,0,0,6,0.048,0.3,1.08,19,201,289,45,3.53,3,0,0,0.36,2.12,0,41
F009379,18104,"Veal, diced, lean, raw",448,75.5,23.1,3.7,1.5,0,0,0,0,0,0,0,6,0.073,0.3,0.88,22,220,330,46,3.6,1.6,0,1,0.5,0.52,0,55
F009380,18104,"Veal, diced, lean, stir-fried, no added fat",653,63.9,31.9,5.1,3,0,0,0,0,0,0,0,8,0.15,0.3,2,34,360,490,85,7,3,0,0,0.3,1.13,0,110
F009381,18104,"Veal, diced, untrimmed, raw",466,75.1,23,3.68,2,0,0,0,0,0,0,0,6,0.072,0.3,0.87,22,218,327,46,3.56,1.6,0,1,0.51,0.77,0,55
F009382,18104,"Veal, diced, untrimmed, stir-fried, no added fat",679,63.4,31.6,5.05,3.8,0,0,0,0,0,0,0,8,0.146,0.3,1.97,33,353,481,84,6.85,3,0,0,0.32,1.58,0,108
F009433,18104,"Veal, steak, boneless, leg, lean, raw",470,75.8,24.4,3.9,1.5,0,0,0,0,0,0,0,6,0.086,0.3,1.4,31,300,366,56,4.7,1.6,0,1,0.5,0.44,0,57
F009432,18104,"Veal, steak, boneless, leg, lean, grilled, no added fat",655,65,34.4,5.5,1.9,0,0,0,0,0,0,0,6,0.12,0.3,1.7,28,300,380,49,4.9,3,0,0,0.3,0.53,0,85
F009435,18104,"Veal, steak, boneless, leg, untrimmed, raw",482,75.5,24.3,3.89,1.8,0,0,0,0,0,0,0,6,0.085,0.3,1.39,31,298,363,56,4.66,1.6,0,1,0.51,0.61,0,57
F009434,18104,"Veal, steak, boneless, leg, untrimmed, grilled, no added fat",675,64.6,34.1,5.46,2.6,0,0,0,0,0,0,0,6,0.117,0.3,1.68,28,296,375,49,4.82,3,0,0,0.32,0.89,0,84
F009438,18104,"Veal, stir-fry strips, lean, raw",536,73.2,27.2,4.35,2,0,0,0,0,0,0,0,7,0.098,0.3,1.5,28,280,420,56,4.7,1.6,0,1,0.5,0.7,0,55
F009439,18104,"Veal, stir-fry strips, lean, stir-fried, no added fat",614,65,30,4.8,2.8,0,0,0,0,0,0,0,8,0.14,0.3,2.1,37,370,530,79,5.8,3,0,0,0.3,1.06,0,99
F009440,18104,"Veal, stir-fry strips, untrimmed, raw",551,72.8,27.1,4.33,2.5,0,0,0,0,0,0,0,7,0.096,0.3,1.48,28,277,416,55,4.65,1.6,0,1,0.51,0.93,0,55
F009441,18104,"Veal, stir-fry strips, untrimmed, stir-fried, no added fat",623,64.8,29.9,4.78,3.1,0,0,0,0,0,0,0,8,0.138,0.3,2.09,37,367,526,78,5.76,3,0,0,0.31,1.22,0,98
F004831,18102,"Lamb, all cuts, separable fat, raw","2,315",31,10.8,1.73,57.6,0,0,0,0,0,0,0,5,0,0,0.41,6,56,91,22,0.54,2.9,0,0,1.1,25.75,0,62
F004830,18102,"Lamb, all cuts, separable fat, cooked","2,251",30.4,16.2,2.59,53.4,0,0,0,0,0,0,0,6,0,0,0.67,8,82,110,28,1,3,0,0,0.8,24.72,0,74
F004846,18102,"Lamb, boneless, fillet or loin, untrimmed, raw",564,71.1,19.9,3.19,6.1,0,,0,0,0,0,0,5,0.115,1.2,1.94,24,232,354,67,2.46,1,0,0,0.65,2.77,0,66
F004845,18102,"Lamb, boneless, fillet or loin, untrimmed, grilled, no added fat",699,62.7,26.9,4.31,6.5,0,,0,0,0,0,0,7,0.166,1.2,2.51,28,256,364,68,3.3,1.2,0,0,0.68,3.11,0,84
F004844,18102,"Lamb, boneless, fillet or loin, lean, raw",491,72.8,20.3,3.25,4,0,,0,0,0,0,0,5,0.12,1.2,2,24,240,365,69,2.55,0.9,0,0,0.64,1.82,0,66
F004843,18102,"Lamb, boneless, fillet or loin, lean, grilled, no added fat",667,63.4,27.2,4.34,5.6,0,,0,0,0,0,0,8,0.17,1.2,2.55,28,260,370,69,3.35,1.2,0,0,0.68,2.66,0,84
F004890,18102,"Lamb, chop, with bone, loin or chump, lean, raw",606,70.3,25.6,4.09,4.6,0,0,0,0,0,0,0,7,0.14,1.2,2.5,30,295,340,68,3.2,1,0,0,0.45,1.6,0,69
F004889,18102,"Lamb, chop, with bone, loin or chump, lean, grilled, no added fat",900,59.5,32,5.11,9.6,0,0,0,0,0,0,0,11,0.205,1.2,2.95,32,270,330,70,5,2.1,0,0,0.2,3.48,0,92
F004892,18102,"Lamb, chop, with bone, loin or chump, semi-trimmed, raw",804,65.7,23.8,3.82,10.8,0,0,0,0,0,0,0,7,0.124,1.1,2.26,27,267,311,63,2.89,1.2,0,0,0.53,4.39,0,68
F004891,18102,"Lamb, chop, with bone, loin or chump, semi-trimmed, grilled, no added fat","1,042",56.5,30.2,4.83,14.3,0,0,0,0,0,0,0,10,0.183,1.1,2.7,29,250,306,65,4.55,2.2,0,0,0.26,5.74,0,90
F004894,18102,"Lamb, chop, with bone, loin or chump, untrimmed, raw","1,128",58.3,20.8,3.33,20.9,0,0,0,0,0,0,0,6,0.097,0.8,1.89,22,225,264,54,2.4,1.6,0,0,0.65,9.02,0,67
F004893,18102,"Lamb, chop, with bone, loin or chump, untrimmed, grilled, no added fat","1,202",53,28.4,4.55,19.4,0,0,0,0,0,0,0,10,0.159,0.9,2.44,27,228,281,60,4.1,2.3,0,0,0.34,8.23,0,88
F004899,18102,"Lamb, chop, with bone, chump, lean, raw",542,72.6,22.5,3.6,4.3,0,0,0,0,0,0,0,6,0.15,1.2,3.1,30,350,350,65,3.6,1.3,0,0,0.4,1.4,0,65
F004898,18102,"Lamb, chop, with bone, chump, lean, grilled, no added fat",957,57.7,34.1,5.46,10.2,0,0,0,0,0,0,0,11,0.22,1.2,3.1,32,280,330,65,5.8,3,0,0,0.2,3.62,0,93
F004908,18102,"Lamb, chop, with bone, chump, semi-trimmed, raw",753,67.6,21.1,3.38,10.6,0,0,0,0,0,0,0,6,0.132,1,2.78,27,315,319,60,3.24,1.5,0,0,0.48,4.29,0,65
F004907,18102,"Lamb, chop, with bone, chump, semi-trimmed, grilled, no added fat","1,132",54,31.7,5.07,16,0,0,0,0,0,0,0,10,0.19,1,2.77,29,253,300,60,5.15,3,0,0,0.28,6.46,0,90
F004911,18102,"Lamb, chop, with bone, chump, untrimmed, raw",981,62.2,19.6,3.14,17.5,0,0,0,0,0,0,0,6,0.113,0.9,2.43,24,277,286,54,2.84,1.7,0,0,0.57,7.43,0,64
F004910,18102,"Lamb, chop, with bone, chump, untrimmed, grilled, no added fat","1,251",51.5,30,4.81,20,0,0,0,0,0,0,0,10,0.17,0.9,2.55,27,235,280,57,4.71,3,0,0,0.34,8.4,0,89
F004928,18102,"Lamb, diced, lean, raw",554,72.2,21.3,3.41,5.2,0,0,0,0,0,0,0,5,0.14,1.2,2.2,27,250,340,53,4.3,0.8,0,0,0.4,1.82,0,78
F004929,18102,"Lamb, diced, lean, stir-fried, no added fat",773,62,31.3,5.01,6.5,0,0,0,0,0,0,0,5,0.17,1.2,3.7,27,290,390,59,2.6,2.2,0,0,0.2,2.45,0,96
F004927,18102,"Lamb, diced, lean, casseroled, no added fat",776,59.8,32.2,5.15,6.2,0,0,0,0,0,0,0,8,0.02,0.9,3.07,26,239,275,43,6.01,0.6,0,0,0.47,2,0,115
F004931,18102,"Lamb, diced, untrimmed, raw",588,71.4,21.1,3.38,6.2,0,0,0,0,0,0,0,5,0.137,1.2,2.16,26,246,335,52,4.23,0.8,0,0,0.41,2.27,0,78
F004932,18102,"Lamb, diced, untrimmed, stir-fried, no added fat",806,61.3,31,4.95,7.6,0,0,0,0,0,0,0,5,0.166,1.2,3.63,26,285,384,58,2.56,2.2,0,0,0.22,2.95,0,96
F004930,18102,"Lamb, diced, untrimmed, casseroled, no added fat",809,59.2,31.8,5.1,7.2,0,0,0,0,0,0,0,8,0.02,0.9,3.02,25,235,271,42,5.9,0.7,0,0,0.48,2.51,0,114
F004838,18102,"Lamb, boneless dice or strips, lean, raw",541,72.4,21.6,3.46,4.7,0,0,0,0,0,0,0,5,0.077,1.2,2.2,27,250,340,53,4.3,0.8,0,0,0.4,1.59,0,78
F004839,18102,"Lamb, boneless dice or strips, lean, stir-fried, no added fat",768,62,29.7,4.75,7.1,0,0,0,0,0,0,0,5,0.17,1.2,3.7,27,290,390,59,2.6,2.2,0,0,0.2,2.59,0,96
F004837,18102,"Lamb, boneless dice or strips, lean, casseroled, no added fat",776,59.8,32.2,5.15,6.2,0,0,0,0,0,0,0,8,0.02,0.9,3.07,26,239,275,43,6.01,0.6,0,0,0.47,2,0,115
F004841,18102,"Lamb, boneless dice or strips, untrimmed, raw",583,71.4,21.3,3.42,6,0,0,0,0,0,0,0,5,0.075,1.2,2.16,26,245,334,52,4.21,0.8,0,0,0.42,2.16,0,78
F004842,18102,"Lamb, boneless dice or strips, untrimmed, stir-fried, no added fat",793,61.5,29.4,4.71,7.9,0,0,0,0,0,0,0,5,0.167,1.2,3.65,27,286,385,58,2.57,2.3,0,0,0.21,2.98,0,96
F004840,18102,"Lamb, boneless dice or strips, untrimmed, casseroled, no added fat",802,59.3,31.9,5.11,7,0,0,0,0,0,0,0,8,0.02,0.9,3.03,26,236,272,43,5.92,0.6,0,0,0.48,2.4,0,114
F004948,18102,"Lamb, eye of loin, lean, raw",498,72.7,20.8,3.33,3.9,0,,0,0,0,0,0,5,0.12,1.2,1.9,25,230,360,69,2.2,0.6,0,0,0.54,1.79,0,62
F004947,18102,"Lamb, eye of loin, lean, microwaved, no added fat",663,63.7,26.8,4.29,5.6,0,,0,0,0,0,0,9,0.16,1.2,2.3,26,240,330,63,2.9,0.8,0,0,0.49,2.68,0,81
F004951,18102,"Lamb, eye of loin, untrimmed, raw",545,71.6,20.6,3.29,5.3,0,,0,0,0,0,0,5,0.117,1.2,1.86,24,225,353,68,2.16,0.6,0,0,0.55,2.42,0,62
F004950,18102,"Lamb, eye of loin, untrimmed, microwaved, no added fat",691,63.1,26.6,4.26,6.5,0,,0,0,0,0,0,9,0.157,1.2,2.27,26,237,326,62,2.86,0.9,0,0,0.5,3.08,0,81
F005074,18102,"Lamb, roasting piece, shoulder, lean, raw",468,73.6,18.2,2.91,4.3,0,0,0,0,0,0,0,7,0.14,1.2,2.2,26,250,340,53,5.5,2.7,0,0,0.51,1.5,0,54
F005067,18102,"Lamb, roasting piece, shoulder, lean, roasted, no added fat",703,62.9,29.6,4.74,5.4,0,0,0,0,0,0,0,6,0.16,1.2,2.2,24,220,280,69,6.7,3.2,0,0,0.2,2.04,0,86
F005075,18102,"Lamb, roasting piece, shoulder, semi-trimmed, raw",695,68.4,17.3,2.77,10.8,0,0,0,0,0,0,0,7,0.123,1,1.98,24,226,309,49,4.89,2.7,0,0,0.58,4.48,0,55
F005076,18102,"Lamb, roasting piece, shoulder, semi-trimmed, roasted, no added fat",859,59.6,28.2,4.52,10.2,0,0,0,0,0,0,0,6,0.144,1.1,2.04,22,206,263,65,6.13,3.2,0,0,0.26,4.32,0,85
F005077,18102,"Lamb, roasting piece, shoulder, untrimmed, raw",894,63.8,16.5,2.64,16.6,0,0,0,0,0,0,0,6,0.108,0.9,1.79,21,205,283,46,4.36,2.8,0,0,0.64,7.09,0,56
F005078,18102,"Lamb, roasting piece, shoulder, untrimmed, roasted, no added fat","1,095",54.7,26.2,4.19,17.5,0,0,0,0,0,0,0,6,0.12,0.9,1.81,20,185,237,59,5.26,3.1,0,0,0.35,7.78,0,83
F004885,18102,"Lamb, chop, with bone, forequarter, lean, raw",559,73,20.5,3.28,5.7,0,0,0,0,0,0,0,10,0.1,1.2,1.6,27,220,330,72,5.4,1.3,0,0,0.5,1.99,0,60
F004884,18102,"Lamb, chop, with bone, forequarter, lean, grilled, no added fat",898,61,28,4.48,11.4,0,0,0,0,0,0,0,8,0.1,1.2,1.5,28,210,350,67,5,2.7,0,0,0.2,4.3,0,82
F004887,18102,"Lamb, chop, with bone, forequarter, semi-trimmed, raw",971,63.1,18.2,2.92,17.9,0,0,0,0,0,0,0,9,0.076,0.9,1.32,22,182,274,60,4.26,1.7,0,0,0.64,7.57,0,60
F004886,18102,"Lamb, chop, with bone, forequarter, semi-trimmed, grilled, no added fat","1,108",56.2,26.2,4.19,17.9,0,0,0,0,0,0,0,7,0.084,1,1.37,25,190,313,61,4.38,2.7,0,0,0.3,7.48,0,81
F004888,18102,"Lamb, chop, with bone, forequarter, untrimmed, raw","1,126",59.4,17.4,2.78,22.4,0,0,0,0,0,0,0,8,0.068,0.8,1.22,20,167,253,56,3.83,1.8,0,0,0.69,9.65,0,61
F004883,18102,"Lamb, chop, with bone, forequarter, grilled, no added fat","1,172",54.7,25.6,4.1,19.9,0,0,0,0,0,0,0,7,0.08,1,1.33,24,184,301,59,4.19,2.8,0,0,0.32,8.44,0,80
F004919,18102,"Lamb, cutlet or frenched cutlet, with bone, lean, raw",585,72.1,20.9,3.34,6.2,0,0,0,0,0,0,0,9,0.12,1.2,2.1,30,230,350,64,2.9,0.6,0,0,0.51,2.24,0,67
F004918,18102,"Lamb, cutlet or frenched cutlet, with bone, lean, grilled, no added fat",837,60.4,30.5,4.88,8.6,0,0,0,0,0,0,0,10,0.17,0.8,2.6,30,240,320,66,4.3,1,0,0,0.2,3.16,0,96
F004921,18102,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, raw",890,64.8,19.1,3.06,15.3,0,0,0,0,0,0,0,9,0.099,1,1.8,26,199,304,56,2.48,1,0,0,0.61,6.38,0,66
F004920,18102,"Lamb, cutlet or frenched cutlet, with bone, semi-trimmed, grilled, no added fat","1,106",54.6,27.8,4.44,17.1,0,0,0,0,0,0,0,9,0.138,0.7,2.23,26,210,280,59,3.67,1.4,0,0,0.32,7.28,0,92
F004923,18102,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, raw",976,62.8,18.6,2.98,17.8,0,0,0,0,0,0,0,8,0.093,0.9,1.72,24,190,291,54,2.36,1.1,0,0,0.64,7.56,0,66
F004922,18102,"Lamb, cutlet or frenched cutlet, with bone, untrimmed, grilled, no added fat","1,163",53.4,27.2,4.35,18.9,0,0,0,0,0,0,0,9,0.131,0.6,2.16,25,204,272,57,3.54,1.5,0,0,0.34,8.13,0,91
F004954,18102,"Lamb, fillet, lean, raw",485,72.8,19.8,3.17,4,0,,0,0,0,0,0,5,0.12,1.2,2.1,24,250,370,69,2.9,1.3,0,0,0.73,1.84,0,70
F004953,18102,"Lamb, fillet, lean, grilled, no added fat",671,63,27.5,4.4,5.5,0,,0,0,0,0,0,6,0.18,1.2,2.8,30,280,410,75,3.8,1.6,0,0,0.86,2.63,0,87
F004956,18102,"Lamb, fillet, untrimmed, raw",584,70.5,19.3,3.09,6.9,0,,0,0,0,0,0,5,0.114,1.1,2.01,23,240,355,66,2.77,1.4,0,0,0.75,3.13,0,70
F004955,18102,"Lamb, fillet, untrimmed, grilled, no added fat",707,62.2,27.2,4.36,6.6,0,,0,0,0,0,0,6,0.176,1.2,2.75,30,275,403,74,3.74,1.6,0,0,0.86,3.14,0,87
F005013,18102,"Lamb, leg roast, lean, raw",477,72.7,21.1,3.38,3.2,0,0,0,0,0,0,0,6,0.13,1.2,2.1,30,240,350,68,4.1,0.8,0,0,0.4,1.04,0,71
F005014,18102,"Lamb, leg roast, lean, roasted, no added fat",742,61.4,30.6,4.9,6,0,0,0,0,0,0,0,6,0.17,1.2,2.6,29,340,310,65,5.3,2.2,0,0,0.2,2.13,0,80
F005015,18102,"Lamb, leg roast, semi-trimmed, raw",604,69.8,20.4,3.26,7,0,0,0,0,0,0,0,6,0.121,1.1,1.98,28,227,332,65,3.85,0.9,0,0,0.45,2.74,0,70
F005016,18102,"Lamb, leg roast, semi-trimmed, roasted, no added fat",840,59.4,29.7,4.75,9.1,0,0,0,0,0,0,0,6,0.159,1.1,2.47,28,323,297,62,5.02,2.2,0,0,0.24,3.6,0,80
F005017,18102,"Lamb, leg roast, untrimmed, raw",786,65.7,19.4,3.1,12.3,0,0,0,0,0,0,0,6,0.108,1,1.82,26,209,306,60,3.5,1.2,0,0,0.52,5.19,0,69
F005018,18102,"Lamb, leg roast, untrimmed, roasted, no added fat",958,57,28.5,4.56,12.8,0,0,0,0,0,0,0,6,0.146,1,2.32,26,303,281,60,4.68,2.3,0,0,0.29,5.37,0,79
F005027,18102,"Lamb, loin chop, lean, raw",671,68,28.6,4.58,5,0,0,0,0,0,0,0,8,0.13,1.2,1.9,30,240,330,71,2.8,0.6,0,0,0.51,1.8,0,73
F005026,18102,"Lamb, loin chop, lean, grilled, no added fat",843,61.4,29.8,4.77,9.1,0,0,0,0,0,0,0,11,0.19,1.2,2.8,32,260,330,74,4.2,1.2,0,0,0.2,3.35,0,92
F005037,18102,"Lamb, loin chop, semi-trimmed, raw",856,63.9,26.6,4.26,10.9,0,0,0,0,0,0,0,8,0.115,1.1,1.73,27,219,303,65,2.54,0.8,0,0,0.57,4.49,0,72
F005036,18102,"Lamb, loin chop, semi-trimmed, grilled, no added fat",953,58.9,28.7,4.6,12.6,0,0,0,0,0,0,0,11,0.175,1.1,2.63,30,246,313,70,3.95,1.3,0,0,0.25,5.02,0,90
F005044,18102,"Lamb, loin chop, untrimmed, raw","1,276",54.4,22,3.53,24.4,0,0,0,0,0,0,0,7,0.082,0.8,1.35,21,172,242,53,1.97,1.4,0,0,0.72,10.61,0,69
F005043,18102,"Lamb, loin chop, untrimmed, grilled, no added fat","1,154",54.5,26.8,4.29,18.9,0,0,0,0,0,0,0,10,0.148,0.9,2.33,27,221,281,64,3.49,1.6,0,0,0.33,8.06,0,88
F005049,18102,"Lamb, mince, raw",602,71.6,20.4,3.26,6.9,0,0,0,0,0,0,0,13,0.09,1.2,1.77,20,195,270,57,3.72,1.7,0,0,0.74,2.32,0,60
F005050,18102,"Lamb, mince, stir-fried, no added fat",729,64.3,24.4,3.9,8.5,0,0,0,0,0,0,0,11,0.1,1.2,5,28,206,291,74,4.8,2.1,0,0,0.43,3.12,0,82
F005053,18102,"Lamb, mini roast, lean, roasted, no added fat",680,64,27.8,4.45,5.6,0,0,0,0,0,0,0,5,0.17,1.2,2.7,24,230,270,58,4.7,2.3,0,0,0.3,1.98,0,85
F005054,18102,"Lamb, mini roast, semi-trimmed, roasted, no added fat",779,61.9,27.1,4.33,8.6,0,0,0,0,0,0,0,5,0.159,1.1,2.57,23,221,260,56,4.47,2.3,0,0,0.33,3.42,0,84
F005055,18102,"Lamb, mini roast, untrimmed, roasted, no added fat",858,60.2,26.5,4.24,11,0,0,0,0,0,0,0,5,0.151,1.1,2.47,22,213,252,55,4.28,2.4,0,0,0.36,4.56,0,84
